Copyright, Sundhedsdatastyrelsen
SKS-databasen opdateres jævnligt. Dette udtræk modsvarer opdateringen d 01-07-2024.

"Tekst";"Kode"
"Uforklaret eller refraktær kronisk hoste";"DR057"
"Hoste UNS";"DR059"
"Abnorm vejrtrækning";"DR06"
"Dyspnø";"DR060"
"Ortopnø";"DR060A"
"Stridor";"DR061"
"Piben på lungerne";"DR062"
"Cheyne-Stokes respiration";"DR063"
"Hyperventilation";"DR064"
"Mundånding";"DR065"
"Snorken";"DR065A"
"Hikke";"DR066"
"Nysen";"DR067"
"Anden eller ikke specificeret abnorm vejrtrækning";"DR068"
"Respiratio paradoxa";"DR068A"
"Sukken";"DR068B"
"Kvælningsfornemmelse";"DR068C"
"Apnø UNS";"DR068D"
"Gispen";"DR068E"
"Smerter i hals og bryst";"DR07"
"Smerter i svælg";"DR070"
"Smerter i thorax ved vejrtrækning";"DR071"
"Prækordialsmerter";"DR072"
"Andre brystsmerter";"DR073"
"Brystsmerter UNS";"DR074"
"Andre symptomer og fund i kredsløbs- og åndedrætsorganer";"DR09"
"Asfyksi";"DR090"
"Lungehindebetændelse IKA";"DR091"
"Respirationsstop";"DR092"
"Hjerte-lunge-svigt UNS";"DR092A"
"Abnormt opspyt";"DR093"
"Sputum excessivum";"DR093A"
"Purulent opspyt";"DR093B"
"Andet specificeret symptom eller fund i kredsløbs- og åndedrætsorganerne";"DR098"
"Abnorm perkussion af thorax";"DR098A"
"Krepitation ved lungestetoskopi";"DR098B"
"Pulsus parvus";"DR098C"
"Stenosemislyd over arterie";"DR098D"
"Tympanitisk perkussionslyd over thorax";"DR098E"
"Kredsløbssymptom UNS";"DR098F"
"Symptomer og abnorme fund i fordøjelsessystemet og abdomen [DR10-DR19]";""
"Smerter i bughule og bækken";"DR10"
"Akutte mavesmerter";"DR100"
"Defense ved akut abdomen";"DR100A"
"Mavesmerter lokaliseret til øvre abdomen";"DR101"
"Mavesmerter lokaliseret til bækken og bækkenbund";"DR102"
"Mavesmerter lokaliseret til perineum";"DR102A"
"Mavesmerter lokaliseret til bækken";"DR102B"
"Mavesmerter lokaliseret til nedre abdomen";"DR102C"
"Mavesmerter lokaliseret til anden del af nedre abdomen";"DR103"
"Defækationssmerter";"DR103A"
"Andre eller ikke specificerede mavesmerter";"DR104"
"Spædbarnskolik";"DR104A"
"Mavekolik UNS";"DR104B"
"Kvalme og opkastning";"DR11"
"Kvalme og opkastning";"DR119"
"Kvalme";"DR119B"
"Opkastning";"DR119C"
"Halsbrand";"DR12"
"Halsbrand UNS";"DR129"
"Synkebesvær";"DR13"
"Søvnrelateret synken, hosten eller laryngospasme";"DR131"
"Søvnrelateret synkebesvær";"DR131A"
"Søvnrelateret laryngospasme";"DR131B"
"Synkebesvær UNS";"DR139"
"Øget tarmluft og lignende tilstande";"DR14"
"Flatulens eller lignende tilstand UNS";"DR149"
"Flatulens";"DR149A"
"Ufrivillig afgang af afføring";"DR15"
"Afføringsinkontinens";"DR159"
"Forstørret lever og milt IKA";"DR16"
"Forstørret lever IKA";"DR160"
"Hepatomegali UNS";"DR160A"
"Forstørret milt IKA";"DR161"
"Splenomegali UNS";"DR161A"
"Hepatomegali med splenomegali IKA";"DR162"
"Hepatosplenomegali UNS";"DR162B"
"Hyperbilirubinæmi med eller uden gulsot IKA";"DR17"
"Hyperbilirubinæmi med ikterus IKA";"DR170"
"Hyperbilirubinæmi uden ikterus IKA";"DR179"
"Ascites";"DR18"
"Ascites UNS";"DR189"
"Andre symptomer og abnorme fund i fordøjelsessystem og abdomen";"DR19"
"Udfyldning i abdomen eller bækken UNS";"DR190"
"Udfyldning i bækken UNS";"DR190A"
"Navleudfyldning UNS";"DR190B"
"Udfyldning i abdomen UNS";"DR190C"
"Abnorme tarmlyde";"DR191"
"Tyst abdomen";"DR191B"
"Tarmrejsning";"DR192"
"Défense i bugvæg UNS";"DR193"
"Ændret afføringsmønster";"DR194"
"Abnorm afføring UNS";"DR195"
"Dårlig ånde";"DR196"
"Andet symptom eller abnormt fund i fordøjelsessystem eller abdomen";"DR198"
"Opstød";"DR198A"
"Meteorismus";"DR198C"
"Ruminatio";"DR198D"
"Tenesmi rectalis";"DR198E"
"Tenesmi UNS";"DR198F"
"Burning mouth syndrom";"DR198G"
"Symptomer og abnorme fund i huden og underhuden [DR20-DR23]";""
"Føleforstyrrelser i huden";"DR20"
"Manglende følelse i huden";"DR200"
"Nedsat følelse i huden";"DR201"
"Unormal følefornemmelse i huden";"DR202"
"Hyperæstesi i huden";"DR203"
"Anden eller ikke specificeret føleforstyrrelse i huden";"DR208"
"Æstesiodermi UNS";"DR208A"
"Ikke nærmere specificeret udslæt på huden";"DR21"
"Hududslæt UNS";"DR219"
"Eruptio cutanea";"DR219A"
"Lokaliserede hævelser, udfyldninger og knuder i hud og underhud";"DR22"
"Hævelse, udfyldning eller knude i hud eller underhud på hoved";"DR220"
"Hævelse, udfyldning eller knude i hud eller underhud på hals";"DR221"
"Hævelse, udfyldning eller knude i hud eller underhud på kroppen";"DR222"
"Hævelse, udfyldning eller knude i hud eller underhud på overekstremitet";"DR223"
"Hævelse, udfyldning eller knude i hud eller underhud på underekstremitet";"DR224"
"Hævelse, udfyldning eller knude i hud eller underhud på flere lokalisationer";"DR227"
"Hævelse, udfyldning eller knude i hud eller underhud UNS";"DR229"
"Andre hudforandringer";"DR23"
"Cyanose";"DR230"
"Bleghed";"DR231"
"Rødmen";"DR232"
"Spontane ekkymoser";"DR233"
"Spontane petekkier";"DR233A"
"Ændringer i hudstrukturen";"DR234"
"Induration af huden";"DR234A"
"Skællende hud";"DR234B"
"Anden eller ikke specificeret hudforandring";"DR238"
"Hudforandring UNS";"DR238A"
"Cutis marmorata";"DR238B"
"Symptomer og abnorme fund i nervesystemet og bevægeapparatet [DR25-DR29]";""
"Abnorme ufrivillige bevægelser";"DR25"
"Abnorme hovedbevægelser";"DR250"
"Tremor UNS";"DR251"
"Kramper eller spasmer";"DR252"
"Kramper UNS";"DR252A"
"Spasmer UNS";"DR252B"
"Muskelspasmer UNS";"DR252C"
"Fascikulationer";"DR253"
"Anden eller ikke specificeret abnorm ufrivillig bevægelse";"DR258"
"Myokloni";"DR258A"
"Klonus";"DR258B"
"Indsovningsmyoklonier";"DR258C"
"Benign neonatal myokloni";"DR258D"
"Søvnrelateret fodtremor";"DR258E"
"Søvnrelateret propriospinal myokloni";"DR258F"
"Søvnrelateret fragmenteret myokloni";"DR258G"
"Gangbesvær og mobilitetsforstyrrelser";"DR26"
"Ataktisk gang";"DR260"
"Paralytisk gang";"DR261"
"Gangbesvær IKA";"DR262"
"Andet eller ikke specificeret gangbesvær eller mobilitetsforstyrrelse";"DR268"
"Grovmotorisk dyspraksi";"DR268B"
"Andet gangbesvær";"DR268C"
"Usikkerhed på benene UNS";"DR268D"
"Mobilitetsforstyrrelse UNS";"DR268E"
"Gangbesvær UNS";"DR268F"
"Andre koordinationsforstyrrelser";"DR27"
"Ataksi UNS";"DR270"
"Anden eller ikke specificeret koordinationsforstyrrelse";"DR278"
"Koordinationsforstyrrelse UNS";"DR278A"
"Andre symptomer og abnorme fund i nervesystemet og bevægeapparat";"DR29"
"Tetani";"DR290"
"Karpopedalspasme";"DR290A"
"Meningisme";"DR291"
"Abnorme reflekser";"DR292"
"Abnorm kropsholdning";"DR293"
"Hofteklik";"DR294"
"Faldtendens IKA";"DR296"
"Andet eller ikke specificeret symptom eller abnormt fund i nerve- og bevægelsessystemet";"DR298"
"Symptom i nervesystemet UNS";"DR298A"
"Søvnrelaterede hallucinationer";"DR298B"
"Talen i søvne";"DR298C"
"Lang søvntid";"DR298D"
"Kort søvntid";"DR298E"
"Symptomer og abnorme fund i urinvejene [DR30-DR39]";""
"Smerter ved vandladning";"DR30"
"Dysuri";"DR300"
"Tenesmi vesicalis";"DR301"
"Smerter ved vandladning UNS";"DR309"
"Blod i urinen uden nærmere specificering";"DR31"
"Hæmaturi UNS";"DR319"
"Makroskopisk hæmaturi UNS";"DR319A"
"Mikroskopisk hæmaturi UNS";"DR319B"
"Urininkontinens uden nærmere specificering";"DR32"
"Urininkontinens UNS";"DR329"
"Enuresis nocturna UNS";"DR329A"
"Enuresis diurna UNS";"DR329B"
"Blæreatoni, ikke-neurogen";"DR329C"
"Urinretention";"DR33"
"Urinretention UNS";"DR339"
"Ischuria paradoxa";"DR339A"
"Akut urinretention";"DR339B"
"Kronisk urinretention";"DR339C"
"Residualurin";"DR339D"
"Sparsom og ophævet diurese";"DR34"
"Anuri eller oliguri";"DR349"
"Anuri";"DR349A"
"Oligouri";"DR349B"
"Stor diurese";"DR35"
"Polyuri UNS";"DR359"
"Nokturn polyuri";"DR359A"
"Pollakisuri";"DR359B"
"Udflåd fra urinrøret";"DR36"
"Udflåd fra urinrøret UNS";"DR369"
"Andre symptomer og abnorme fund fra urinvejene";"DR39"
"Extravasatio urinae";"DR390"
"Vandladningsbesvær UNS";"DR391"
"Igangsætningsbesvær ved vandladning";"DR391A"
"Slap stråle ved vandladning";"DR391B"
"Spredt stråle ved vandladning";"DR391C"
"Imperiøs vandladning";"DR391D"
"Ekstrarenal uræmi";"DR392"
"Prærenal uræmi";"DR392A"
"Postrenal uræmi";"DR392B"
"Andet eller ikke specificeret symptom eller abnormt fund i urinvejene";"DR398"
"Efterdryp";"DR398A"
"Infravesikal obstruktion";"DR398B"
"Prostatodyni";"DR398C"
"Pneumaturi";"DR398D"
"Abnormt prostata palpationsfund";"DR398E"
"Symptomer og abnorme fund vedrørende erkendelsesevne, opfattelsesevne, stemningsleje og opførsel [DR40-DR46]";""
"Bevidsthedspåvirkning";"DR40"
"Somnolens";"DR400"
"Stupor";"DR401"
"Koma UNS";"DR402"
"Persisterende vegetativ tilstand";"DR403"
"Andre symptomer og abnorme fund vedrørende erkendelsesevne";"DR41"
"Konfusion UNS";"DR410"
"Anterograd amnesi";"DR411"
"Retrograd amnesi";"DR412"
"Anden amnesi";"DR413"
"Amnesi UNS";"DR413A"
"Andet eller ikke specificeret symptom eller abnormt fund vedrørende erkendelsesevne";"DR418"
"Svimmelhed";"DR42"
"Vertigo UNS";"DR429"
"Lugte- og smagsforstyrrelser";"DR43"
"Manglende lugtesans";"DR430"
"Parosmi";"DR431"
"Forandret smagsoplevelse";"DR432"
"Anden eller ikke specificeret lugte- eller smagsforstyrrelse";"DR438"
"Manglende smagssans";"DR438A"
"Smagsforstyrrelse UNS";"DR438B"
"Lugteforstyrrelse UNS";"DR438C"
"Andre symptomer og abnorme fund vedrørende opfattelsesevnen";"DR44"
"Hørehallucinationer";"DR440"
"Synshallucinationer";"DR441"
"Andre hallucinationer";"DR442"
"Hallucinationer UNS";"DR443"
"Andet symptom eller abnormt fund vedrørende opfattelsesevnen";"DR448"
"Symptomer og abnorme fund vedrørende stemningslejet";"DR45"
"Nervøsitet";"DR450"
"Rastløs eller urolig";"DR451"
"Rastløs";"DR451A"
"Urolig";"DR451B"
"Ulykkelig eller bekymret";"DR452"
"Ulykkelig";"DR452A"
"Bekymret";"DR452B"
"Apatisk eller demoraliseret";"DR453"
"Apatisk";"DR453A"
"Demoraliseret";"DR453B"
"Irritabel eller vredladen";"DR454"
"Irritabel";"DR454A"
"Vredladen";"DR454B"
"Fjendtlig";"DR455"
"Voldelig";"DR456"
"Følelsesmæssig shocktilstand UNS";"DR457"
"Andet symptom eller abnormt fund vedrørende stemningslejet";"DR458"
"Patologisk sorgreaktion";"DR458A"
"Symptomer og abnorme fund vedrørende udseende og opførsel";"DR46"
"Dårlig personlig hygiejne";"DR460"
"Bizart udseende";"DR461"
"Mærkværdig eller uforklarlig opførsel";"DR462"
"Hyperaktiv";"DR463"
"Sløv med nedsat reaktion";"DR464"
"Mistænksom eller undvigende";"DR465"
"Mistænksom";"DR465A"
"Undvigende";"DR465B"
"Overdreven bekymring eller optagethed af belastende oplevelser";"DR466"
"Usædvanlig snakkesalig eller omstændelig uden at komme til sagen";"DR467"
"Andet symptom eller abnormt fund vedrørendse udseende og opførsel";"DR468"
"Symptomer og abnorme fund vedrørende tale og stemmeføring [DR47-DR49]";""
"Taleforstyrrelser IKA";"DR47"
"Dysfasi eller afasi";"DR470"
"Dysfasi";"DR470A"
"Afasi";"DR470B"
"Dysartri eller anartri";"DR471"
"Dysartri";"DR471A"
"Anartri";"DR471B"
"Anden eller ikke specificeret taleforstyrrelse";"DR478"
"Ordblindhed og andre indlæringsforstyrrelser";"DR48"
"Dysleksia eller aleksi";"DR480"
"Ordblindhed";"DR480A"
"Aleksi";"DR480C"
"Agnosi";"DR481"
"Apraksi";"DR482"
"Anden eller ikke specificeret indlæringsforstyrrelse";"DR488"
"Akalkuli IKA";"DR488A"
"Agrafi IKA";"DR488B"
"Astereognose";"DR488C"
"Dysgrafi";"DR488D"
"Forstyrrelser i stemmeføring";"DR49"
"Dysfoni";"DR490"
"Hæshed";"DR490A"
"Afoni";"DR491"
"Snøvlen";"DR492"
"Anden eller ikke specificeret forstyrrelse i stemmeføring";"DR498"
"Fonasteni";"DR498A"
"Stemmeændring UNS";"DR498B"
"Almene symptomer og abnorme fund [DR50-DR69]";""
"Feber af anden og ukendt årsag";"DR50"
"Feber forårsaget af lægemiddel";"DR502"
"Anden feber";"DR508"
"Feber med kulderystelser";"DR508A"
"Vedvarende feber af ukendt årsag";"DR508B"
"Feber UNS";"DR509"
"Hovedpine";"DR51"
"Hovedpine UNS";"DR519"
"Smerter IKA";"DR52"
"Akutte smerter";"DR520"
"Maligne smerter";"DR521"
"Simple maligne smerter";"DR521A"
"Komplekse maligne smerter";"DR521B"
"Andre kroniske smerter";"DR522"
"Kroniske smerter UNS";"DR522A"
"Smerter i kønsorganer";"DR522B"
"Burning vulva-penis-scrotum-anus syndrom";"DR522C"
"Simple langvarige eller kroniske ikke-maligne smerter";"DR522D"
"Komplekse langvarige eller kroniske ikke-maligne smerter";"DR522E"
"Smerter UNS";"DR529"
"Utilpashed og træthed";"DR53"
"Utilpashed eller udmattelse UNS";"DR539"
"Udmattelse";"DR539A"
"Letargi";"DR539C"
"Sygdomsfølelse";"DR539E"
"Utilpashed";"DR539F"
"Alderdomssvækkelse";"DR54"
"Senilitet";"DR549"
"Senil debilitet";"DR549A"
"Senil asteni";"DR549B"
"Besvimelse og kollaps";"DR55"
"Besvimelse eller kollaps";"DR559"
"Vasovagalt anfald";"DR559A"
"Lipotymi UNS";"DR559B"
"Infantilt kollaps";"DR559C"
"Kollaps UNS";"DR559D"
"Konvulsioner IKA";"DR56"
"Feberkramper";"DR560"
"Tetani ved feber";"DR560A"
"Andre eller ikke specificerede konvulsioner";"DR568"
"Affektkramper";"DR568C"
"Konvulsioner UNS";"DR568D"
"Førstegangs uprovokeret generaliseret tonisk-klonisk anfald (GTCS)";"DR568E"
"Oligoepilepsi";"DR568F"
"Non-epileptiske anfald";"DR568G"
"Shock IKA";"DR57"
"Kardiogent shock";"DR570"
"Hypovolæmisk shock";"DR571"
"Septisk shock";"DR572"
"Anden form for shock";"DR578"
"Endotoksisk shock";"DR578A"
"Shock UNS";"DR579"
"Blødning IKA";"DR58"
"Blødning UNS";"DR589"
"Forstørrede lymfeknuder";"DR59"
"Lokaliseret lymfeknudeforstørrelse";"DR590"
"Universel lymfeknudeforstørrelse";"DR591"
"Lymfeknudeforstørrelse UNS";"DR599"
"Ødem IKA";"DR60"
"Lokaliseret ødem";"DR600"
"Universelt ødem";"DR601"
"Ødem UNS";"DR609"
"Øget svedsekretion";"DR61"
"Lokaliseret hyperhidrose";"DR610"
"Pitted keratolyse";"DR610A"
"Universel hyperhidrose";"DR611"
"Hyperhidrose UNS";"DR619"
"Nattesved";"DR619A"
"Forsinket fysiologisk udvikling";"DR62"
"Retarderet psykomotorisk udvikling";"DR620"
"Taleretarderet";"DR620A"
"Sprogretarderet";"DR620B"
"Motorisk retarderet";"DR620C"
"Anden form for retarderet fysiologisk udvikling";"DR628"
"Dårlig trivsel";"DR628A"
"Infantilisme UNS";"DR628B"
"Vækstretarderet";"DR628C"
"Retarderet fysiologisk udvikling UNS";"DR629"
"Symptomer og abnorme fund vedrørende føde- og væskeindtagelse";"DR63"
"Appetitløshed";"DR630"
"Polydipsia";"DR631"
"Polyfagi";"DR632"
"Anden form for spisevanskelighed";"DR633"
"Spisevanskelighed UNS";"DR633A"
"Abnormt vægttab";"DR634"
"Abnorm vægtstigning";"DR635"
"Symptomer eller abnorme fund vedrørende føde- og væskeindtagelse UNS";"DR638"
"Kakeksi";"DR64"
"Kakeksi UNS";"DR649"
"Fund ved vurdering af generel funktionsevne";"DR67"
"Selvhjulpen eller lettere afhængig";"DR670"
"Selvhjulpen eller lettere afhængig, Barthel indeks 100: 80-100 point";"DR670A"
"Selvhjulpen, Barthel indeks 100: 100 point";"DR670AA"
"Lettere afhængig, Barthel indeks 100: 80-99 point";"DR670AB"
"Selvhjulpen eller lettere afhængig, Barthel indeks 20: 15-20 point";"DR670B"
"Selvhjulpen, Barthel indeks 20: 20 point";"DR670BA"
"Lettere afhængig, Barthel indeks 20: 15-19 point";"DR670BB"
"Moderat afhængig";"DR671"
"Moderat afhængig, Barthel indeks 100: 50-79 point";"DR671A"
"Moderat afhængig, Barthel indeks 20: 10-14 point";"DR671B"
"Væsentlig afhængig";"DR672"
"Væsentlig afhængig, Barthel indeks 100: 25-49 point";"DR672A"
"Væsentlig afhængig, Barthel indeks 20: 5-9 point";"DR672B"
"Fuldstændig afhængig";"DR673"
"Fuldstændig afhængig, Barthel indeks 100: 0-24 point";"DR673A"
"Fuldstændig afhængig, Barthel indeks 20: 0-4 point";"DR673B"
"Generelt nedsat funktionsevne UNS";"DR679"
"Andre generelle symptomer og abnorme fund";"DR68"
"Hypotermi, som ikke skyldes kolde omgivelser";"DR680"
"Uspecifikke symptomer karakteristiske for børn";"DR681"
"Irritabelt barn";"DR681A"
"Kolikbarn";"DR681B"
"Mundtørhed UNS";"DR682"
"Trommestikfingre";"DR683"
"Andet generelt symptom eller abnormt fund";"DR688"
"Medicinsk uforklaret symptom";"DR688A"
"Symptomer relateret til dufte og kemiske stoffer";"DR688A1"
"Funktionel lidelse IKA";"DR688A9"
"Funktionel lidelse, multiorgan";"DR688A9A"
"Funktionel lidelse, enkelt organ";"DR688A9B"
"Funktionel lidelse, almen/træthed";"DR688A9B1"
"Funktionel lidelse, gastrointestinal";"DR688A9B2"
"Funktionel lidelse, muskuloskeletal";"DR688A9B3"
"Funktionel lidelse, kardiopulmonal";"DR688A9B4"
"Funktionel lidelse, neurologisk";"DR688A9B5"
"Funktionel lidelse, urogenital";"DR688A9B6"
"Anden funktionel lidelse, enkelt organ";"DR688A9B9"
"Funktionel lidelse, enkelt symptom";"DR688A9C"
"Ukendte og ikke specificerede årsager til sygdom";"DR69"
"Sygdom uden kendt eller specificeret årsag";"DR699"
"Sygdom relateret til inhalering af aerosol";"DR699A"
"Abnorme fund ved undersøgelse af blodprøver uden diagnose [DR70-DR79]";""
"Forhøjet sænkning og abnorm plasmaviskositet";"DR70"
"Forhøjet sænkning";"DR700"
"Abnorm plasmaviskositet";"DR701"
"Abnorme røde blodlegemer";"DR71"
"Erythrocytabnormitet";"DR719"
"Anisocytose";"DR719A"
"Poikilocytose";"DR719B"
"Abnorme hvide blodlegemer IKA";"DR72"
"Andet abnormt fund ved hvide blodlegemer IKA";"DR728"
"Forhøjet blodsukker";"DR73"
"Nedsat glukosetolerance";"DR730"
"Latent sukkersyge";"DR730A"
"Hyperglykæmi UNS";"DR739"
"Abnorme koncentrationer af serumenzymer";"DR74"
"Transaminase- og laktatdehydrogenaseforhøjelse";"DR740"
"Laktatdehydrogenaseforhøjelse i serum";"DR740A"
"Transaminaseforhøjelse i serum";"DR740B"
"Anden abnorm serumenzymkoncentration";"DR748"
"Abnorm serumamylase";"DR748A"
"Abnorm alkalisk fosfatase-koncentration i serum";"DR748B"
"Abnorm serumlipase";"DR748D"
"Abnorm sur fosfatase-koncentration i serum";"DR748E"
"Abnorm koncentration af serumenzym UNS";"DR749"
"Andre abnorme immunologiske fund i serum";"DR76"
"Forhøjet antistoftiter";"DR760"
"Abnorm tuberkulinreaktion";"DR761"
"Falsk positiv reaktion for syfilis";"DR762"
"Andet abnormt immunologisk fund";"DR768"
"Forhøjede serumimmunglobuliner UNS";"DR768A"
"Forhøjet antifosfolipidantistof-titer";"DR768D"
"Abnormt immunologisk fund i serum UNS";"DR769"
"Andre abnorme fund i plasmaproteiner";"DR77"
"Abnormt plasma-albumin";"DR770"
"Hypoalbuminæmi UNS";"DR770A"
"Abnormt plasma-globulin";"DR771"
"Hyperglobulinæmi UNS";"DR771A"
"Abnormt plasma-alfaføtoprotein";"DR772"
"Andet abnormt fund i plasmaproteiner";"DR778"
"Abnorme fund i plasmaproteiner UNS";"DR779"
"Påvisning af lægemidler og andre stoffer, som normalt ikke forekommer i blod";"DR78"
"Alkohol i blodet";"DR780"
"Morfika i blodet";"DR781"
"Kokain i blodet";"DR782"
"Hallucinogener i blodet";"DR783"
"Andre narkotika i blodet";"DR784"
"Psykofarmaka i blodet";"DR785"
"Steroider i blodet";"DR786"
"Øget mængde tungmetal i blodet";"DR787"
"Påvisning af andet fremmed stof i blodet";"DR788"
"Øget mængde litium i blodet";"DR788A"
"Påvisning af ikke specificeret stof, der normalt ikke findes i blodet";"DR789"
"Andre abnorme kemiske fund i blodprøver";"DR79"
"Abnorm mængde mineral i blodet";"DR790"
"Abnorm mængde zink i blodet";"DR790A"
"Abnorm mængde magnesium i blodet";"DR790B"
"Abnorm mængde jern i blodet";"DR790C"
"Abnorm mængde kobber i blodet";"DR790D"
"Anden abnorm blodprøve";"DR798"
"Abnormt blodgasniveau";"DR798B"
"Hyperkapni";"DR798C"
"Hypokapni";"DR798D"
"Hypoxia";"DR798E"
"Abnormt kemisk fund i blodprøve UNS";"DR799"
"Abnorme fund ved urinundersøgelse uden diagnose [DR80-DR82]";""
"Æggehvidestof i urinen";"DR80"
"Proteinuri UNS";"DR809"
"Bence Jones-proteinuri";"DR809A"
"Albuminuri ved feber";"DR809B"
"Monosymptomatisk proteinuri";"DR809C"
"Albuminuri UNS";"DR809D"
"Forbigående albuminuri";"DR809E"
"Sukker i urinen";"DR81"
"Glukosuri";"DR819"
"Andre abnorme fund i urinen";"DR82"
"Kyluri";"DR820"
"Myoglobinuri";"DR821"
"Biliuri";"DR822"
"Hæmoglobinuri";"DR823"
"Methæmoglobinuri";"DR823A"
"Ketonuri";"DR824"
"Øget mængde af lægemiddel eller biologisk substans i urinen";"DR825"
"Katekolaminuri";"DR825A"
"Lipuri";"DR825B"
"Øget mængde af lægemiddel i urinen UNS";"DR825C"
"Øget mængde steroid i urinen";"DR825D"
"Øget mængde af ikke-medikamentelt stof i urinen";"DR826"
"Øget mængde tungmetal i urinen";"DR826A"
"Abnormt fund ved mikrobiologisk undersøgelse af urinen";"DR827"
"Coliuri";"DR827A"
"Positiv urindyrkning";"DR827B"
"Abnorm urincytologi og urinhistologi";"DR828"
"Andet eller ikke specificeret abnormt fund ved urinundersøgelse";"DR829"
"Cylindre i urinen";"DR829A"
"Melanuri";"DR829B"
"Krystaluri";"DR829C"
"Celler i urinen";"DR829D"
"Abnorme fund ved undersøgelse af andre legemsvæsker, sekreter og væv uden diagnose [DR83-DR89]";""
"Abnorme fund i cerebrospinalvæske";"DR83"
"Cerebrospinalvæske med abnorm enzymkoncentration";"DR830"
"Cerebrospinalvæske med abnorm hormonkoncentration";"DR831"
"Cerebrospinalvæske med abnormt indhold af lægemiddel eller biologisk substans";"DR832"
"Cerebrospinalvæske med abnormt indhold af ikke-medikamentelt stof";"DR833"
"Cerebrospinalvæske med abnormt immunologisk fund";"DR834"
"Cerebrospinalvæske med abnormt mikrobiologiske fund";"DR835"
"Cerebrospinalvæske med abnorm cytologisk fund";"DR836"
"Cerebrospinalvæske med andet abnormt fund";"DR838"
"Cerebrospinalvæske med kromosomanomali";"DR838A"
"Cerebrospinalvæske med abnormt fund UNS";"DR839"
"Abnorme fund i prøver fra luftveje og thorax";"DR84"
"Prøve fra luftveje eller thorax med abnorm enzymkoncentration";"DR840"
"Prøve fra luftveje eller thorax med abnorm hormonkoncentration";"DR841"
"Prøve fra luftveje eller thorax med abnormt indhold af lægemiddel eller biologisk substans";"DR842"
"Prøve fra luftveje eller thorax med abnormt indhold af ikke-medikamentelt stof";"DR843"
"Prøve fra luftveje eller thorax med abnormt immunologisk fund";"DR844"
"Prøve fra luftveje eller thorax med abnormt mikrobiologisk fund";"DR845"
"Prøve fra luftveje eller thorax med abnormt cytologisk fund";"DR846"
"Prøve fra luftveje eller thorax med abnormt histologisk fund";"DR847"
"Prøve fra luftveje eller thorax med andet abnormt fund";"DR848"
"Prøve fra luftveje eller thorax med abnormt fund UNS";"DR849"
"Abnorme fund i prøver fra fordøjelsesorganer og bughule";"DR85"
"Prøve fra fordøjelsesorgan eller bughulen med abnorm enzymkoncentration";"DR850"
"Prøve fra fordøjelsesorgan eller bughulen med abnorm hormonkoncentration";"DR851"
"Prøve fra fordøjelsesorgan eller bughulen med abnormt indhold af lægemiddel eller biologisk substans";"DR852"
"Prøve fra fordøjelsesorgan eller bughulen med abnormt indhold af ikke-medikamentelt stof";"DR853"
"Prøve fra fordøjelsesorgan eller bughulen med abnormt immunologisk fund";"DR854"
"Prøve fra fordøjelsesorgan eller bughulen med abnormt mikrobiologisk fund";"DR855"
"Prøve fra fordøjelsesorgan eller bughulen med abnormt cytologisk fund";"DR856"
"Prøve fra fordøjelsesorgan eller bughulen med abnormt histologisk fund";"DR857"
"Prøve fra fordøjelsesorgan eller bughulen med andet abnormt fund";"DR858"
"Prøve fra fordøjelsesorgan eller bughulen med abnormt fund UNS";"DR859"
"Abnorme fund i prøver fra mandlige kønsorganer";"DR86"
"Prøve fra mandligt kønsorgan med abnorm enzymkoncentration";"DR860"
"Prøve fra mandligt kønsorgan med abnorm hormonkoncentration";"DR861"
"Prøve fra mandligt kønsorgan med abnormt indhold af lægemiddel eller biologisk substans";"DR862"
"Prøve fra mandligt kønsorgan med abnormt indhold af ikke-medikamentelt stof";"DR863"
"Prøve fra mandligt kønsorgan med abnormt immunologisk fund";"DR864"
"Prøve fra mandligt kønsorgan med abnormt mikrobiologisk fund";"DR865"
"Prøve fra mandligt kønsorgan med abnormt cytologisk fund";"DR866"
"Prøve fra mandligt kønsorgan med abnormt histologisk fund";"DR867"
"Prøve fra mandligt kønsorgan med andet abnormt fund";"DR868"
"Prøve fra mandligt kønsorgan med abnormt fund UNS";"DR869"
"Abnorme fund i prøver fra kvindelige kønsorganer";"DR87"
"Prøve fra kvindeligt kønsorgan med abnorm enzymkoncentration";"DR870"
"Prøve fra kvindeligt kønsorgan med abnormt hormonkoncentration";"DR871"
"Prøve fra kvindeligt kønsorgan med abnormt indhold af lægemiddel eller biologisk substans";"DR872"
"Prøve fra kvindeligt kønsorgan med abnormt indhold af ikke-medikamentelt stof";"DR873"
"Prøve fra kvindeligt kønsorgan med abnormt immunologisk fund";"DR874"
"Prøve fra kvindeligt kønsorgan med abnormt mikrobiologisk fund";"DR875"
"Prøve fra kvindeligt kønsorgan med abnormt cytologisk fund";"DR876"
"Cervikalsekret med abnormt cytologisk fund";"DR876A"
"Prøve fra kvindeligt kønsorgan med abnormt histologisk fund";"DR877"
"Prøve fra kvindeligt kønsorgan med andet abnormt fund";"DR878"
"Prøve fra kvindeligt kønsorgan med abnormt fund UNS";"DR879"
"Abnorme fund i prøver fra andre organer og væv";"DR89"
"Prøve fra andet organ eller væv med abnorm enzymkoncentration";"DR890"
"Prøve fra andet organ eller væv med abnorm hormonkoncentration";"DR891"
"Prøve fra andet organ eller væv med abnormt indhold af lægemiddel eller biologisk substans";"DR892"
